REF.,DESCRIÇÃO,Grupo,Sub Grupo,Marca/ Fornec,Cor,Tamanho,Un,CUSTO,Unitário,ETIQ.,TIPO,,,,STATUS_DOWNLOAD,QTD_IMAGENS
1001,CAMISETA MASC ALGODAO,VESTUARIO,VEST/MASC,Avila,PADRÃO,P/ M/ G/ GG,Un,"R$16,00"," R$ 48,00 ", SIM, TAG,,,,OK,5
1002,CAMISETA MASC. EXTRA / G1 / G2,VESTUARIO,VEST/MASC,Avila,PADRÃO,G1/ G2/ G3,Un,"R$28,00"," R$ 80,00 ", SIM, TAG,,,,OK,5
1005,CHÁ/ CAMINHO JOGO OXFORD,ENXOVAL,MESA,Campestre,ESTAMPADO,PADRÃO,2 PCS,"R$7,00"," R$ 20,00 ", SIM, TAG,,,,OK,5
1008,COBRE LEITO SOLTEIRO,ENXOVAL,CAMA,sultan,ESTAMPADO/ LISO,SOLTEIRO,2 PCS,"R$42,00"," R$ 120,00 ", SIM, ADESIVA,,,,OK,5
1010,COLCHA 2 PECAS,ENXOVAL,CAMA,Campestre,ESTAMPADO,SOLTEIRO,2 Pçs,"R$30,00"," R$ 90,00 ", SIM, ADESIVA,,,,OK,5
1011,CORTINA COZINHA OXFORD,ENXOVAL,DECORAÇÃO,Campestre,ESTAMPADO,PADRÃO,Un,"R$20,50"," R$ 60,00 ", SIM, ADESIVA,,,,OK,5
1012,CORTINA COZINHA RENDA,ENXOVAL,DECORAÇÃO,Campestre,ESTAMPADO,PADRÃO,Un,"R$25,00"," R$ 60,00 ", SIM, ADESIVA,,,,OK,5
1013,"CORTINA 2,80 x 2,60 MT",ENXOVAL,DECORAÇÃO,Campestre,LISO,PADRÃO,Un,"R$75,00"," R$ 200,00 ", SIM, ADESIVA,,,,OK,5
1014,"CORTINA 2,80 X 1,80 MT",ENXOVAL,DECORAÇÃO,Campestre,LISO,PADRÃO,Un,"R$52,00"," R$ 160,00 ", SIM, ADESIVA,,,,OK,5
1015,FRONHA  MALHA (PAR),ENXOVAL,CAMA,Campestre/ Sultan,LISO/ ESTAMPADO/PADRÃO,PADRÃO,Par,"R$10,60"," R$ 30,00 ", SIM, TAG,,,,OK,5
1016,JOGO BANHEIRO,ENXOVAL,TAPETE,Campestre,PADRÃO,PADRÃO,3 Pçs,"R$13,50"," R$ 38,00 ", SIM, TAG,,,,OK,5
1018,LENCOL 4 PECAS MICROPERCAL,ENXOVAL,CAMA,Campestre,QUEEN,ESTAMPADO,4 Pçs,"R$55,00"," R$ 160,00 ", SIM, ADESIVA,,,,OK,5
1022,MANTA CASAL,ENXOVAL,CAMA,Campestre,CASAL,ESTAMPADO/ LISO / PADRÃO,Un,"R$18,00"," R$ 55,00 ", SIM, TAG,,,,OK,5
1023,MANTA SOFÁ JACQUARD,ENXOVAL,DECORAÇÃO,Campestre,LISO,LISO,Un,"R$26,00"," R$ 75,00 ", SIM, TAG,,,,OK,5
1024,PANO DUPLO,ENXOVAL,MESA,Campestre,ESTAMPADO,ESTAMPADO,Un,"R$3,60"," R$ 10,00 ", SIM, ADESIVA,,,,OK,5
